Date,Mkt-RF,HML,SMB,RF,Crude Oil,Natural Gas,Wheat,Corn,Soybean
3/9/2017,0.04,-0.3,-0.45,0.001,-1.989,2.516,-0.351,-0.351,-1.063
3/10/2017,0.34,-0.49,0.09,0.001,-1.603,1.143,-0.763,-0.681,-0.4
3/13/2017,0.13,-0.03,0.33,0.001,-0.186,1.164,-2.484,-0.543,0
3/14/2017,-0.36,0.01,-0.24,0.001,-1.405,-3.451,-0.061,0.364,-0.903
3/15/2017,0.86,-0.38,0.75,0.001,2.389,1.464,1.278,1.205,-0.125
3/16/2017,-0.06,0.22,0.44,0.001,-0.225,-2.65,0,0.115,0.351
3/17/2017,-0.08,-0.25,0.61,0.001,0.062,1.585,0.057,0.243,-0.15
3/20/2017,-0.25,-0.75,-0.07,0.001,-1.148,3.155,-1.375,-1.314,-0.05
3/21/2017,-1.48,-0.69,-1.39,0.001,-1.825,1.71,-0.872,-0.634,0.2
3/22/2017,0.16,-0.51,-0.28,0.001,-0.415,-2.651,-0.996,0.651,-0.175
3/23/2017,-0.03,0.46,0.67,0.001,-0.708,1.328,-0.296,-0.091,-0.875
3/24/2017,-0.05,-0.26,0.13,0.001,0.566,0.819,0.891,0.259,-1.539
3/27/2017,-0.05,-0.53,0.55,0.001,-0.5,-0.78,-0.942,-0.684,-0.436
3/28/2017,0.72,0.72,-0.15,0.001,1.341,1.442,0.891,-0.078,0.051
3/29/2017,0.18,-0.08,0.39,0.001,2.357,2.552,0.236,-0.963,-0.309
3/30/2017,0.36,0.93,0.33,0.001,1.697,-1.238,-1.058,0.118,-0.619
3/31/2017,-0.16,-0.32,0.56,0.001,0.497,-0.031,1.306,1.443,-1.765
4/3/2017,-0.28,-0.11,-1.09,0.003,-0.711,-1.944,0.293,-2.405,-0.819
4/4/2017,0.05,0.3,-0.24,0.003,1.572,5.275,-0.175,-0.822,-0.053
4/5/2017,-0.44,-0.32,-0.8,0.003,0.235,-0.82,0.644,0.027,0.693
4/6/2017,0.32,0.49,0.69,0.003,1.075,1.99,-1.513,-0.481,-0.291
4/7/2017,-0.08,-0.26,0.16,0.003,1.044,-2.101,0.177,-1.409,0.053
4/10/2017,0.08,0.1,0.11,0.003,1.608,-0.705,1.12,2.301,-0.027
4/11/2017,-0.05,0.23,0.8,0.003,0.603,-2.718,1.05,-0.186,-0.265
4/12/2017,-0.49,-0.59,-0.88,0.003,-0.543,1.175,0,-0.373,0.905
4/13/2017,-0.75,-0.83,-0.23,0.003,0.132,1.255,-0.808,1.191,0.818
4/17/2017,0.89,0.22,0.23,0.003,-0.997,-1.983,-2.036,1.865,-0.235
4/18/2017,-0.25,-0.15,0.34,0.003,-0.456,-0.569,0.356,-0.273,-0.761
4/19/2017,-0.08,-0.41,0.59,0.003,-3.759,1.272,-0.828,1.106,0.449
4/20/2017,0.83,0.3,0.54,0.003,-0.337,-0.816,-3.043,3.09,-0.368
4/21/2017,-0.28,-0.13,0.1,0.003,-2.149,-1.836,-0.308,-1.349,0.449
4/24/2017,1.18,0.51,0.18,0.003,-0.786,-1.129,-0.617,1.393,1.078
4/25/2017,0.66,-0.03,0.35,0.003,0.67,-0.75,1.553,0.774,-0.702
4/26/2017,0.04,0.15,0.58,0.003,0.121,3.253,-0.245,-0.025,-0.917
4/27/2017,0.05,-0.92,-0.12,0.003,-1.31,-0.978,1.41,-1.698,0
4/28/2017,-0.3,-0.61,-0.69,0.003,0.735,1.142,1.209,1.147,-0.053
5/1/2017,0.21,-0.15,0.27,0.003,-0.993,-1.862,5.795,0.274,1.455
5/2/2017,0.03,-0.17,-0.46,0.003,-2.416,-0.622,-0.282,0.472,-0.104
5/3/2017,-0.19,0.2,-0.54,0.003,0.336,1.033,0.34,-0.173,0.783
5/4/2017,0.02,-0.36,-0.05,0.003,-4.81,-1.301,-3.837,0.174,-0.026
5/5/2017,0.46,0.08,0.06,0.003,1.538,2.511,0.352,-1.324,-0.233
5/8/2017,-0.04,0.33,-0.32,0.003,0.454,-2.878,-2.222,-3.736,-0.701
5/9/2017,-0.05,-0.81,0.5,0.003,-1.185,1.734,0.897,0.311,0.941
5/10/2017,0.21,0.04,0.19,0.003,3.16,2.014,0.533,-1.214,-0.363
5/11/2017,-0.26,-0.16,-0.36,0.003,1.056,2.552,0.472,3.517,-0.598
5/12/2017,-0.18,-0.62,-0.29,0.003,0.021,1.422,-0.235,3.789,-0.209
5/15/2017,0.53,0.2,0.25,0.003,2.111,-2.19,-2.195,3.821,0.234
5/16/2017,-0.03,-0.09,0.16,0.003,-0.389,-3.553,0.236,-4.688,1.14
5/17/2017,-1.97,-0.57,-0.91,0.003,0.843,-1.176,0.648,-1.414,-0.051
5/18/2017,0.4,-0.39,0.07,0.003,0.571,-0.313,-0.293,-1.16,-3.177
5/19/2017,0.7,0.43,-0.38,0.003,1.986,2.326,2.231,0.265,0.873
5/22/2017,0.56,-0.26,0.3,0.003,0.795,2.273,-0.23,-1.334,0.367
5/23/2017,0.18,0.62,-0.07,0.003,0.665,-3.333,-1.094,-1.493,-0.863
5/24/2017,0.24,-0.5,-0.15,0.003,-0.214,-0.311,0.698,0.414,0
5/25/2017,0.42,-0.8,-0.27,0.003,-4.79,-0.779,-0.405,-0.49,-0.923
5/26/2017,0.06,0.1,-0.05,0.003,1.84,1.633,1.741,-0.091,-1.384
5/30/2017,-0.19,-0.3,-0.48,0.003,-0.281,-4.985,-1.997,0.221,-1.484
5/31/2017,-0.02,-0.56,0.03,0.003,-2.698,-2.353,-0.058,-0.362,0.356
