Date,Mkt-RF,HML,SMB,RF,Crude Oil,Natural Gas,Wheat,Corn,Soybean
4/13/2016,1.23,0.35,0.85,0,-0.972,1.597,1.989,0.195,2.083
4/14/2016,0.03,0.19,-0.27,0,-0.623,-3.242,-0.379,-1.606,-0.811
4/15/2016,-0.04,-0.32,0.32,0,-2.747,-3.452,0,-1.006,0.844
4/18/2016,0.65,-0.19,0.1,0,-1.437,1.998,2.828,3.532,-0.183
4/19/2016,0.29,1.48,-0.36,0,3.268,7.629,2.856,0.869,3.275
4/20/2016,0.15,0.52,-0.09,0,3.773,-0.91,3.702,1.771,2.461
4/21/2016,-0.47,-0.59,0.1,0,-2.263,-0.048,-1.686,-0.486,0.891
4/22/2016,0.12,0.49,0.81,0,1.274,3.482,-5.799,-0.646,-3.117
4/25/2016,-0.24,-0.19,-0.57,0,-2.493,-3.598,0.91,2.679,1.292
4/26/2016,0.29,0.77,0.66,0,3.283,-1.503,1.804,-2.023,1.8
4/27/2016,0.21,0.7,0.09,0,2.929,-1.821,-1.146,0.961,0.123
4/28/2016,-0.96,0.06,-0.15,0,1.544,-3.484,0.264,-0.593,-0.098
4/29/2016,-0.5,0.42,-0.15,0,-0.239,4.812,0.526,0.11,0.295
5/2/2016,0.78,-0.37,-0.01,0.001,-2.483,-6.244,-0.209,0.941,1.42
5/3/2016,-1.05,-0.48,-0.65,0.001,-2.523,2.155,-3.616,-2.035,-1.352
5/4/2016,-0.66,0.07,-0.16,0.001,0.298,2.637,0.163,-1.396,0.294
5/5/2016,-0.08,0.08,-0.49,0.001,1.233,-3.036,-1.629,-0.869,-2.05
5/6/2016,0.38,0.25,0.04,0.001,0.767,1.204,0.055,0,2.267
5/9/2016,0.04,-1.49,0.37,0.001,-2.732,-0.143,-1.379,-0.809,-0.731
5/10/2016,1.26,0.48,-0.4,0.001,2.808,2.86,1.007,-0.701,5.62
5/11/2016,-0.89,0.8,-0.36,0.001,3.515,0.695,-0.443,-0.493,-0.581
5/12/2016,-0.11,0.13,-0.6,0.001,1.017,-0.828,2.002,0.215,-0.491
5/13/2016,-0.82,-0.67,0.38,0.001,-1.049,-2.738,1.418,-0.181,-0.892
5/16/2016,0.99,-0.26,0.27,0.001,3.268,-3.197,0,0.61,-0.047
5/17/2016,-0.95,0.61,-0.78,0.001,1.236,0.936,1.474,1.984,1.48
5/18/2016,0.1,0.84,0.1,0.001,-0.248,-2.295,-0.363,-0.241,-0.463
5/19/2016,-0.33,-0.27,-0.32,0.001,-0.062,1.899,-2.344,-1.579,-0.349
5/20/2016,0.75,-0.3,0.9,0.001,-0.851,1.128,-0.213,0.982,0.257
5/23/2016,-0.19,-0.32,0.26,0.001,-0.682,-0.339,-1.229,-0.357,-1.466
5/24/2016,1.43,-0.33,0.68,0.001,1.123,-3.65,0.433,2.539,-0.354
5/25/2016,0.72,0.57,-0.21,0.001,1.933,0.606,0.431,-0.175,2.915
5/26/2016,-0.04,-0.51,-0.09,0.001,-0.161,-1.456,3.273,2.273,-0.53
5/27/2016,0.49,-0.22,0.33,0.001,-0.303,0.837,0.052,-0.078,0.625
5/31/2016,-0.01,-0.37,0.51,0.001,-0.466,5.486,-3.531,-0.529,-0.736
6/1/2016,0.2,-0.22,0.64,0.001,-0.183,4.065,1.991,-1.204,1.97
6/2/2016,0.35,-0.59,0.32,0.001,0.326,1.008,2.48,-0.475,4.046
6/3/2016,-0.38,-0.09,-0.14,0.001,-1.119,-0.291,2.42,1.67,-1.071
6/6/2016,0.6,0.32,0.67,0.001,2.201,2.836,2.061,2.55,0.552
6/7/2016,0.12,0.1,0.2,0.001,1.348,0.324,0.296,0.458,0.264
6/8/2016,0.37,-0.11,0.44,0.001,1.728,-0.243,2.063,-0.106,3.198
6/9/2016,-0.27,-0.2,-0.41,0.001,-1.308,6.037,-1.781,-1.247,-0.149
6/10/2016,-1.05,-0.18,-0.35,0.001,-2.947,-2.331,-2.989,-0.323,0.191
6/13/2016,-0.83,0.1,-0.36,0.001,-0.387,1.135,-0.758,-1.483,-0.785
6/14/2016,-0.19,-0.69,0.27,0.001,-0.798,0.735,-1.272,-1.176,0.043
6/15/2016,-0.11,-0.07,0.25,0.001,-0.99,-0.346,-1.546,-0.698,-1.154
6/16/2016,0.24,-0.4,-0.35,0.001,-3.749,-0.578,-1.047,1.118,-1.86
6/17/2016,-0.3,0.93,-0.1,0.001,3.83,1.667,1.852,2.006,2.204
6/20/2016,0.71,-0.02,0.61,0.001,2.897,4.727,-1.714,-0.279,-1.38
6/21/2016,0.21,0.49,-0.63,0.001,-1.053,0.764,-3.066,-2.392,-0.896
6/22/2016,-0.2,0.08,-0.32,0.001,-1.444,-3.288,0.055,0.143,0.375
6/23/2016,1.45,0.43,0.49,0.001,1.995,0.784,-0.981,3.082,-1.143
6/24/2016,-3.7,-1.13,0.14,0.001,-4.929,-1.334,0.11,-0.586,-1.912
6/27/2016,-2.07,-0.67,-0.94,0.001,-2.75,2.029,-1.759,-1.581,2.72
6/28/2016,1.76,0.13,-0.39,0.001,3.281,7.401,-0.672,1.859,1.545
6/29/2016,1.8,-0.09,0.27,0.001,4.242,-0.934,-3.211,-0.247,-0.522
6/30/2016,1.42,0.45,0.35,0.001,-3.107,2.131,0.407,-2.605,2.665
7/1/2016,0.24,-0.4,0.56,0.001,1.366,2.155,-3.478,1.273,-0.532
7/5/2016,-0.85,-1.38,-0.62,0.001,-4.879,-7.466,0.781,0.204,-4.428
7/6/2016,0.62,-0.12,0.19,0.001,1.781,0.796,-0.894,0.047,-0.962
7/7/2016,0.02,-0.18,0.35,0.001,-4.828,-0.323,-0.902,-0.172,-4.701
7/8/2016,1.6,0.37,0.88,0.001,0.598,0.864,2.124,1.027,3.367
7/11/2016,0.43,0.27,0.61,0.001,-1.431,-3.534,-1.07,3.368,-0.642
7/12/2016,0.75,1,0.62,0.001,4.558,1.184,1.862,4.403,2.263
7/13/2016,-0.05,0.5,-0.52,0.001,-4.38,0.11,0.531,3.149,1.874
